date;price
31/12/2015;721,3088503
01/01/2016;725,8447563
02/01/2016;726,3114857
03/01/2016;719,7965478
04/01/2016;725,0927304
05/01/2016;723,2120471
06/01/2016;722,3530543
07/01/2016;762,0902584
08/01/2016;758,9898307
09/01/2016;750,7025485
10/01/2016;747,7693281
11/01/2016;749,6642957
12/01/2016;747,4861255
13/01/2016;725,1090225
14/01/2016;720,3236734
15/01/2016;618,8599321
16/01/2016;648,1618399
17/01/2016;652,2959814
18/01/2016;651,3733866
19/01/2016;640,9517495
20/01/2016;706,8421895
21/01/2016;688,9839945
22/01/2016;639,0213369
23/01/2016;660,8392507
24/01/2016;685,9812702
25/01/2016;671,1711766
26/01/2016;671,6884937
27/01/2016;679,0717409
28/01/2016;657,946197
29/01/2016;658,5938614
30/01/2016;653,2136986
31/01/2016;631,0688972
01/02/2016;641,1914651
02/02/2016;646,2546285
03/02/2016;640,4165657
04/02/2016;673,9102335
05/02/2016;671,0766636
06/02/2016;655,8627895
07/02/2016;661,5524689
08/02/2016;654,9139364
09/02/2016;662,9996231
10/02/2016;678,5245404
11/02/2016;686,3545995
12/02/2016;693,2243713
13/02/2016;705,8272947
14/02/2016;727,2153538
15/02/2016;720,858669
16/02/2016;725,1139161
17/02/2016;733,4231005
18/02/2016;745,1632174
19/02/2016;743,8081502
20/02/2016;776,8033956
21/02/2016;774,907899
22/02/2016;781,0530159
23/02/2016;752,4934087
24/02/2016;761,803743
25/02/2016;759,8528377
26/02/2016;765,48291
27/02/2016;776,9869633
28/02/2016;778,4525722
29/02/2016;783,8023321
01/03/2016;784,7530046
02/03/2016;780,7263242
03/03/2016;784,1081946
04/03/2016;771,4713216
05/03/2016;758,9281163
06/03/2016;772,7177731
07/03/2016;775,4785246
08/03/2016;776,9687456
09/03/2016;795,3719987
10/03/2016;796,9004511
11/03/2016;804,1512919
12/03/2016;807,5892722
13/03/2016;821,9152726
14/03/2016;803,3580813
15/03/2016;809,929928
16/03/2016;807,7106064
17/03/2016;798,6063102
18/03/2016;779,8273743
19/03/2016;774,6736379
20/03/2016;780,480914
21/03/2016;793,2023886
22/03/2016;797,5370415
23/03/2016;810,7380489
24/03/2016;795,7252087
25/03/2016;793,3168164
26/03/2016;797,961601
27/03/2016;805,6528138
28/03/2016;810,3998546
29/03/2016;799,9762679
30/03/2016;794,9156684
31/03/2016;795,3527411
01/04/2016;799,6877949
02/04/2016;804,4167204
03/04/2016;802,4726557
04/04/2016;802,7771255
05/04/2016;800,3127371
06/04/2016;799,5702942
07/04/2016;791,7305844
08/04/2016;784,9800257
09/04/2016;780,9417119
10/04/2016;776,8571591
11/04/2016;778,2017608
12/04/2016;774,5715028
13/04/2016;775,335152
14/04/2016;781,966053
15/04/2016;787,9214435
16/04/2016;793,7535333
17/04/2016;795,9913841
18/04/2016;795,9060581
19/04/2016;806,6784569
20/04/2016;814,3271706
21/04/2016;826,1569544
22/04/2016;817,8766459
23/04/2016;829,8671963
24/04/2016;839,0804878
25/04/2016;838,4134426
26/04/2016;844,072327
27/04/2016;809,5110845
28/04/2016;813,1216328
29/04/2016;827,1609162
30/04/2016;825,2462048
01/05/2016;832,6903395
02/05/2016;830,2607378
03/05/2016;832,3392956
04/05/2016;827,8229153
05/05/2016;833,460641
06/05/2016;850,0404871
07/05/2016;848,03245
08/05/2016;849,0739955
09/05/2016;851,7893358
10/05/2016;832,3675308
11/05/2016;840,7767616
12/05/2016;845,8216486
13/05/2016;852,3605501
14/05/2016;848,6353046
15/05/2016;850,9476333
16/05/2016;855,9624093
17/05/2016;859,9882109
18/05/2016;871,550434
19/05/2016;862,2698638
20/05/2016;857,2533685
21/05/2016;862,1553945
22/05/2016;857,4700209
23/05/2016;856,5260357
24/05/2016;855,8614183
25/05/2016;858,780831
26/05/2016;865,5795641
27/05/2016;888,6159885
28/05/2016;978,1436883
29/05/2016;977,6138348
30/05/2016;996,8473052
31/05/2016;1003,406596
01/06/2016;1015,833418
02/06/2016;1014,386464
03/06/2016;1065,334233
04/06/2016;1069,106984
05/06/2016;1072,651079
06/06/2016;1090,48994
07/06/2016;1083,245493
08/06/2016;1091,160507
09/06/2016;1083,281218
10/06/2016;1082,281252
11/06/2016;1112,068572
12/06/2016;1243,383927
13/06/2016;1310,072692
14/06/2016;1296,677201
15/06/2016;1306,199762
16/06/2016;1439,113876
17/06/2016;1371,910381
18/06/2016;1350,866288
19/06/2016;1373,788192
20/06/2016;1322,653255
21/06/2016;1218,243126
22/06/2016;1096,956951
23/06/2016;1155,34145
24/06/2016;1221,102678
25/06/2016;1231,776653
26/06/2016;1170,375668
27/06/2016;1206,820676
28/06/2016;1193,747514
29/06/2016;1180,85834
30/06/2016;1239,826555
01/07/2016;1242,235657
02/07/2016;1262,380801
03/07/2016;1217,462635
04/07/2016;1239,370821
05/07/2016;1211,112716
